AD_HP数据：
('96e0b823-0c91-4a05-9c7e-3bae2383c510', 'ZBLF', '临汾/尧都')
('8cbeb338-dc21-49b2-ae1b-5a7f25d813e0', 'ZSWA', '芜湖/宣州')
('0dbf6857-e549-4e34-92e9-fc5114a7a9bc', 'ZSYC', '宜春/明月山')
('08d12080-c74b-42bb-95db-8dab30673c9e', 'ZSGZ', '赣州/黄金')
('c5c7b7b8-92bc-4be9-b392-a50715607a8a', 'ZSJJ', '九江/庐山')
('bf0c7e5a-322e-4188-ac5e-29f86124d573', 'ZSJH', '池州/九华山')
('0c6d1625-b746-4e95-9a7d-3ffcdc02e72e', 'ZSYW', '义乌')
('f025ba85-2943-4c58-be40-cb9a5c9586b9', 'ZSAQ', '安庆')
('f77b9b33-f7a7-4dcc-b576-6d996bc5b2f3', 'ZSJG', '济宁/曲阜')
('46600504-06ea-4448-8beb-b2a9db493403', 'ZSHZ', '菏泽/牡丹')
('ef93b2cf-7404-408e-9cd9-95f837ba02fc', 'ZSGS', '井冈山')
('bf783424-3d96-4029-aeb7-ec53a9cb7a80', 'ZSRZ', '日照/山字河')
('362b60af-077e-403f-9e7c-aa3b45452b8e', 'ZSHC', '杭州/萧山')
('66f8f4d1-62b8-4dc5-8b88-c6b3d934e982', 'ZSFZ', '福州/长乐')
('2b1c8d73-a0ac-4abc-a09c-5e59d48cdb56', 'ZSNB', '宁波/栎社')
('dc8453ac-1e6a-4df1-adc2-bc45dc320b0f', 'ZSCN', '南昌/昌北')
('d9755fff-300d-4015-9010-c0b20ae04234', 'ZSYT', '烟台/蓬莱')
('0a3fbf7d-e332-452c-872b-022266b020a4', 'ZSFY', '阜阳')
('6a97a5d6-84b5-4520-b0d5-b2805dc9f3d2', 'ZSSM', '三明/沙县')
('87fbd6e7-9588-4825-9910-400de7bb16fa', 'ZSWX', '无锡/硕放')
('183609ee-91be-4c0f-82f1-211501d777a4', 'ZSCG', '常州/奔牛')
('a495f2fd-e84e-4b35-ad1e-b35ef1b10598', 'ZSNJ', '南京/禄口')
('1089615b-7aa4-47b8-aa7f-e9ac4d32b3d5', 'ZSOF', '合肥/新桥')
('f31f9b1b-5103-4a3f-bf28-4a85b1f4cc5c', 'ZSWF', '潍坊')
('e8dffc32-b54b-4d0a-8d7d-191ff7d35e29', 'ZSSH', '淮安/涟水')
('7f2f7f13-5f52-48c4-9bbe-119322dbb2ec', 'ZSPD', '上海/浦东')
('c001533a-7050-4a89-a1d9-7596b491a107', 'ZSAM', '厦门/高崎')
('e2a96206-2289-4316-bbe4-bbcd82dcb2b4', 'ZSLQ', '台州/路桥')
('1d8799e3-3963-405e-9de4-342175c7756d', 'ZSQZ', '泉州/晋江')
('190e020f-9b9c-4f86-ba82-94ca3a914182', 'ZSDY', '东营')
('55689794-cd9c-4da5-9569-34a70ea6cadb', 'ZSSS', '上海/虹桥')
('5539dc34-a688-4193-aa23-c5f6441ce403', 'ZSLG', '连云港/花果山')
('cbf1b2d5-6220-4d0d-9daa-e82676acd3b2', 'ZSWZ', '温州/龙湾')
('11819abb-a1ae-4ca0-9254-36a7730ff374', 'ZSZS', '舟山/普陀山')
('c2fd8c51-213a-483a-8d95-75d00a7b1e28', 'ZSJN', '济南/遥墙')
('297a3a4f-311e-436d-aa27-2e4a3576f4cf', 'ZSWY', '武夷山')
('ab24706a-6d39-440e-840c-874d6ff68879', 'ZSYA', '扬州/泰州')
('7eeed95f-9af8-4523-8025-56597bd044db', 'ZSYN', '盐城/南洋')
('42fddd58-1ff8-4378-a7d7-257e3d411bb3', 'ZSJU', '衢州')
('be947d90-1b50-4475-8e62-4809c86e532e', 'ZSLY', '临沂/启阳')
('c5327936-1fd8-4043-b3ac-f93a89998ff1', 'ZSLO', '连城/冠豸山')
('04d6662b-854c-41c3-8b9d-6f88829b6934', 'ZGWZ', '梧州/西江')
('114f9ffe-fb89-4434-9023-703fd0a2af7f', 'ZGSY', '邵阳/武冈')
('8e8ebf7c-5cac-480a-bde1-63599b0c1330', 'ZHXY', '信阳/明港')
('5568d25d-ace1-490e-b50b-9836c86dcb95', 'ZGMX', '梅州/梅县')
('26b08066-f75b-4ebb-8c0e-e68691b36738', 'ZGYJ', '阳江/合山')
('ffb8c033-9e09-4de8-9b42-2c1d3681ce69', 'ZGUH', '珠海/九洲')
('39585adf-0d9c-4b36-bef3-8a0f93640043', 'ZGLD', '罗定')
('0655d105-5e63-4e1b-9584-817312ea1f28', 'ZGHY', '衡阳/南岳')
('95fef9db-81da-4669-9569-8b747bd7d543', 'ZGSG', '韶关/丹霞')
('309dc177-9e5f-490e-a43b-244f345c7134', 'ZJYX', '三沙/永兴')
('28be0d9f-ae97-42fd-8fa0-42026dd34d8d', 'ZHCC', '郑州/新郑')
('c48a0f96-1f0a-483e-8318-165b66217280', 'ZHSN', '神农架/红坪')
('4ed28640-cfe3-4663-addc-9ee2e1af8ba7', 'ZJHK', '海口/美兰')
('7ca3bee1-5050-409b-891a-98d176dab58e', 'ZGOW', '揭阳/潮汕')
('470ea887-5428-4156-904c-b52c25ade611', 'ZGSZ', '深圳/宝安')
('e3ccfce9-9d19-48ae-8f93-f68d3f5c06cc', 'ZGCZ', '郴州/北湖')
('ced90b6d-8d84-48fe-9b74-27d65de3d1db', 'ZGZJ', '湛江/吴川')
('e838afba-3a59-4418-beed-193695bf206a', 'ZGHA', '长沙/黄花')
('45d1e0a3-c8f4-4c60-b69e-6ac6167dde45', 'ZHYC', '宜昌/三峡')
('bfb628f7-f7c5-4c23-8b5e-f694b83e094f', 'ZGHZ', '惠州/平潭')
('88d21c29-913a-4001-9fe0-3d2eb76ea718', 'ZHXF', '襄阳/刘集')
('8a9a68c3-3445-4c2a-b682-cd0e91410174', 'ZGXX', '湘西/边城')
('f43887fe-e2fe-42e7-8c51-c0529f6b649e', 'ZGGG', '广州/白云')
('a6ed136c-0446-4198-8d00-444b7a55a2b9', 'ZJSY', '三亚/凤凰')
('9527c8df-9bee-4e9c-9b68-7b5912fa3d00', 'ZHNY', '南阳/姜营')
('d756d9f5-79db-427b-9a53-3bea83bb6f49', 'ZGZH', '柳州/白莲')
('1256d337-f54e-4cd6-bee2-2cfafccee07a', 'ZGBS', '百色/巴马')
('8e825de0-90e1-432b-a07e-512d3cfc7fca', 'ZGBH', '北海/福成')
('efa86232-5722-473d-a941-eab771b9edcf', 'ZGKL', '桂林/两江')
('9cea71d1-8565-45c0-b23f-5ff58e04c136', 'ZGLG', '永州/零陵')
('aab055ef-4a22-49e5-8c19-cf515748d298', 'ZGNN', '南宁/吴圩')
('b9ce4f3e-0358-424d-ab07-9db06078f44c', 'ZHSY', '十堰/武当山')
('fb9b1024-8608-461f-9765-1a316816a6d9', 'ZGYL', '玉林/福绵')
('73cd028e-c7ec-49e6-9ca8-4c42df3124bc', 'ZGHC', '河池/金城江')
('60f5e876-2e0c-4d20-b966-fb28f378f5ab', 'ZGDY', '张家界/荷花')
('c2103f9e-d088-4ab0-afea-773a840f0a27', 'ZGCJ', '怀化/芷江')
('4db09801-8c20-4646-b56b-77e4eb3054f0', 'ZHJZ', '荆州/沙市')
('675a0f06-d79a-4e64-a628-3a82864a3298', 'ZHES', '恩施/许家坪')
('bf69cc9e-555b-45e9-9a40-7bef8906c323', 'ZGYY', '岳阳/三荷')
('e3430c20-be2c-4e7a-a5dc-7308bd090baa', 'ZHEC', '鄂州/花湖')
('afb95f59-3da7-4be9-8e4a-df8cc4f9c894', 'ZHLY', '洛阳')
('49bec36d-5ea0-4289-9fb9-494bab68542e', 'ZGCD', '常德/桃花源')
('0c4d8bce-1cbd-4aea-9349-40f53fe3a758', 'ZJQH', '琼海/博鳌')
('071b4d2e-d247-4a5c-b5f6-a25771bddba0', 'ZHHH', '武汉/天河')
('3b7bac68-f144-4d1d-b212-b00494bd7a61', 'ZGSD', '珠海/金湾')
('74b2752f-e624-409e-ba5e-d8b88830b6be', 'ZUNZ', '林芝/米林')
('2abad141-dd7a-4ab4-90a4-549768232ba4', 'ZUGZ', '甘孜/格萨尔')
('4d7612a2-99cc-4962-8b95-98ae7d9482a8', 'ZULS', '拉萨/贡嘎')
('0358a015-5213-4aaa-80da-d60c2d14f5fb', 'ZPPP', '昆明/长水')
('9fdda03b-904c-4067-a944-ef9c7b675f76', 'ZULB', '荔波')
('db3658e9-ed96-4140-8e7f-8c06e68840c1', 'ZUBZ', '巴中/恩阳')
('8bec1897-ecc4-40cd-be70-6b540c34f519', 'ZUYI', '兴义/万峰林')
('dd6eb73a-7bae-4d0e-b4bb-941af6f06d8b', 'ZUKJ', '凯里/黄平')
('1fe0c9f4-3eb3-4b1f-bd25-14d06d14586d', 'ZUTF', '成都/天府')
('57393ca4-eeb8-42eb-96ee-daf78e01d034', 'ZPWS', '文山/砚山')
('43ed76dd-9b85-4334-8944-8a79a9718775', 'ZUHY', '阿坝/红原')
('92c05345-7451-4f30-a44e-d125699eccad', 'ZURK', '日喀则/和平')
('db0f2453-a39f-478a-8c8f-680a262a9104', 'ZUWX', '万州/五桥')
('3b0487b3-90f9-46c6-b76d-483f59aa1891', 'ZUZY', '遵义/新舟')
('78008895-0bde-44d9-8aa3-c0a3a82e643c', 'ZUAS', '安顺/黄果树')
('a457a189-b3a7-48f1-b8cb-0e0f95646d03', 'ZUXC', '西昌/青山')
('cc930e86-6e99-432e-935d-41a9bbb8772e', 'ZUSN', '遂宁')
('2b5ce5f9-0f17-4000-95a9-80d8f481780e', 'ZUGH', '广汉')
('6fe03eee-89ed-4340-95c2-f3cf9b24f786', 'ZUWS', '重庆/巫山')
('738ddc26-90eb-40d5-a4f7-ead27891853a', 'ZUYB', '宜宾/五粮液')
('52661959-9f1b-421b-961a-f699e4d0a86e', 'ZUAL', '阿里/昆莎')
('52c19403-b30d-4e69-8449-94b894e6675a', 'ZUXJ', '新津')
('d9b1b2cf-e2fb-42d3-b9b0-8189d62050fd', 'ZPJM', '澜沧/景迈')
('495ce057-b7eb-4b2f-b264-146294551d16', 'ZUMT', '遵义/茅台')
('9f5107af-e32e-48a8-94c9-9b7b7e5e5e23', 'ZUDR', '日喀则/定日')
('f6308f99-2d39-44af-973b-ac11497c2d32', 'ZPCW', '沧源/佤山')
('14f641f9-5ff9-4e76-adb4-3ab55d09dc21', 'ZUTR', '铜仁/凤凰')
('142e7b0d-f177-40ec-ac39-463612ade4bf', 'ZUBJ', '毕节/飞雄')
('8e86ab32-be59-4492-a9a3-9a2e8d4a8c09', 'ZUUU', '成都/双流')
('9c4667ef-87f3-4308-8f2a-6d004fd32dd9', 'ZPLC', '临沧/博尚')
('19aba388-60a0-4718-9bec-ba1f7feecdbc', 'ZPDQ', '迪庆/香格里拉')
('da14090e-0d0b-4f4f-b564-41b2079d88ba', 'ZULZ', '泸州/云龙')
('61c6fdb1-3613-4a5d-a9d9-079f848f73e3', 'ZUQJ', '黔江/武陵山')
('e972e3a9-02cb-4391-b6e1-f6159fc4234b', 'ZUNC', '南充/高坪')
('a22382e1-6f49-4e8e-889a-30ffbc1a8edf', 'ZPJH', '西双版纳/嘎洒')
('9b157e2e-de5f-4744-9b82-413641b54200', 'ZUZH', '攀枝花/保安营')
('72c95c5d-b0dd-4f4f-a93b-b25d55907166', 'ZUMY', '绵阳/南郊')
('42ccf4c6-5219-48d5-b1a8-ec0ac1cc0851', 'ZPNL', '宁蒗/泸沽湖')
('303df0e3-4e9d-4230-841e-0ee3c2f4ebf3', 'ZPLJ', '丽江/三义')
('553ee848-5655-4d5a-b6b6-68c25df6c7a6', 'ZPBS', '保山/云瑞')
('94c574c9-df7a-45ec-a06c-12b97b00d1ac', 'ZPDL', '大理/凤仪')
('46b2d60c-3f13-43b3-ba23-7f6cd8552a58', 'ZPMS', '德宏/芒市')
('d068d657-4592-4fb1-9783-ecc48d00f2b2', 'ZUPS', '六盘水/月照')
('08178db3-a2f2-4728-87fe-cd8b48f3d5dc', 'ZUJZ', '九寨/黄龙')
('4529263a-48d5-4b1f-b93f-8946370a13d3', 'ZUNP', '黎平')
('712a4e10-d968-4926-84d7-96f18a286a6c', 'ZUCK', '重庆/江北')
('be4559c3-ffec-4efe-b4a4-b1dd3574ad4c', 'ZUGU', '广元/盘龙')
('c1c1c82e-a0bb-42c2-ac24-39a8c7ece4ed', 'ZUWL', '重庆/仙女山')
('0f3ae9cd-f3bd-4e1e-a48d-67f7fd2a83f3', 'ZUDC', '稻城/亚丁')
('dc05bdbe-6d46-4e3e-a6e9-8616d5269893', 'ZUGY', '贵阳/龙洞堡')
('3708afe9-5024-46d9-b71b-a5e2fcc81d52', 'ZUSH', '山南/隆子')
('a452acd9-a162-4080-843d-9a9a58b8e2eb', 'ZUBD', '昌都/邦达')
('79eb8bb1-b63e-4f70-8091-fc45877ca3e6', 'ZPZT', '昭通')
('f1bf025a-ccfd-4c12-a65f-2fafd9720ed0', 'ZUKD', '康定')
('5061af96-6c74-404e-835e-bc692b2debbd', 'ZPSM', '普洱/思茅')
('59acb3f6-0ec8-4ae3-b530-fd4772f73720', 'ZPTC', '腾冲/驼峰')
('4c1adaf0-29af-460a-858f-e7478559568d', 'ZUDA', '达州/金垭')
('2d728e41-71ca-4ff2-a719-6ceb368940c4', 'ZLAK', '安康/富强')
('76a16031-f3ef-45d5-ac04-ec18e7d1ced2', 'ZLLN', '陇南/成县')
('d4919565-6567-4f55-829d-b0ab3aff24c3', 'ZLGL', '果洛/玛沁')
('f3c81982-797c-42d9-93cc-039bf9c54bfb', 'ZLGM', '格尔木')
('1ffadd33-05c5-4657-b2b4-5b32da076778', 'ZLQY', '庆阳/西峰')
('6fad1e4b-2a42-4791-9289-1e0996e3bf1f', 'ZLXY', '西安/咸阳')
('83ddd9da-d300-4dad-80f8-9624c8d9eb25', 'ZLLL', '兰州/中川')
('a0ceb06f-c588-4218-8b87-f5ac3fb4566e', 'ZLDL', '海西/德令哈')
('71452511-12f4-4bd6-bde3-caedc01d6114', 'ZLHZ', '汉中/城固')
('aa35b2ba-94aa-41e1-a733-8bc5a43c9e54', 'ZLHB', '海北/祁连')
('8e70a827-c545-485b-b9dd-21684623be14', 'ZLGY', '固原/六盘山')
('418424e9-2e0f-4a8d-96aa-2f1716adf258', 'ZLYA', '延安/南泥湾')
('43d18b9e-16d0-4e73-9fc0-739636da1290', 'ZLJQ', '嘉峪关/酒泉')
('fa5989e5-3b60-497b-803f-b75b4ca64e6b', 'ZLYL', '榆林/榆阳')
('0ac257ed-56be-410f-84e8-ab77a8662074', 'ZLHX', '海西/花土沟')
('690462ed-c4b4-4ca3-8189-f447c6fadedc', 'ZLYS', '玉树/巴塘')
('4cdc5182-76ad-4b02-94c8-2710311633cb', 'ZLZW', '中卫/沙坡头')
('2f65d965-a76f-4c61-a596-c8103d437894', 'ZLJC', '金昌/金川')
('652944ff-923a-4bbb-a3ca-e98c5cee88b6', 'ZLIC', '银川/河东')
('6bc89dab-5498-458f-bfe9-ffbc506079e4', 'ZLZY', '张掖/甘州')
('9a983ce5-d54f-4b71-9e44-18ab965b9983', 'ZLXH', '甘南/夏河')
('2c70abc8-3218-46aa-bc6d-cb6beb185aa1', 'ZLTS', '天水/麦积山')
('1c34ef0e-6c87-4612-9905-f57b3057da8c', 'ZLXN', '西宁/曹家堡')
('8eaef33c-847b-4305-842c-2429855929df', 'ZLDH', '敦煌/莫高')
('cdc954fc-6ca8-402b-9d5c-d9a1a99c8006', 'ZYYK', '营口/兰旗')
('057f3954-1479-4ed6-9191-deedfdef1c70', 'ZYDQ', '大庆/萨尔图')
('19ff3a96-a08e-43ae-bb22-db3e439d3f60', 'ZYBA', '白城/长安')
('75564e75-ee2a-45ed-b588-fad75ba32fe6', 'ZYLD', '伊春/林都')
('86798da9-68b1-416e-93ae-4671df474787', 'ZYHE', '黑河/瑷珲')
('ff775598-94b8-47a5-a5da-03ea3880adbc', 'ZYDD', '丹东/浪头')
('cbb60551-9db9-4708-9ef2-e3a647e47a55', 'ZYAS', '鞍山/腾鳌')
('66940f3e-9753-4498-b6a5-dfc1eedc4216', 'ZYQQ', '齐齐哈尔/三家子')
('5fdc3c6e-d167-482f-a652-c6680dfb6d85', 'ZYFY', '抚远/东极')
('722c3d7e-b2b6-4183-bdf3-b77f73e13b11', 'ZYTX', '沈阳/桃仙')
('861e8ecf-1c6a-4362-824f-3b8a683eb39f', 'ZYJS', '建三江/湿地')
('4b705eb7-2897-4a62-8fae-07c7dcb574f8', 'ZYHB', '哈尔滨/太平')
('2098b5d3-e7af-4858-861d-2d53f6d72cfa', 'ZYYJ', '延吉/朝阳川')
('e35b3486-8392-4810-b35d-52c0b4691c56', 'ZYCH', '长海')
('01f5a042-e7e4-4cd1-84a8-e193090b509a', 'ZYTL', '大连/周水子')
('a3e8b9bb-2752-4c28-a890-bdedb0272fca', 'ZYCC', '长春/龙嘉')
('3862ba13-c569-4f3c-897a-087bf177ca4f', 'ZYJZ', '锦州/锦州湾')
('a388f183-3d87-440d-bd12-0d8f87f5b031', 'ZYBS', '白山/长白山')
('24f114a7-0402-45f0-bf9e-a61a77ee0f97', 'ZYJD', '大兴安岭/鄂伦春')
('86c6140a-f574-4670-8608-3ca1df1c317c', 'ZYMD', '牡丹江/海浪')
('e2e66da7-dfa5-46e4-92ba-9f723e467e3d', 'ZYJX', '鸡西/兴凯湖')
('418c1b27-b302-4eb6-a2f8-a9d600f0f872', 'ZYMH', '漠河/古莲')
('2a093027-5ac3-4b72-abb4-55bd2553597d', 'ZYJM', '佳木斯')
('1e8997bf-dd09-43b4-a0b8-b18afa644191', 'ZYTN', '通化/三源浦')
('7f07054d-23e4-4967-baa9-cdf928793037', 'ZYDU', '五大连池/德都')
('f2cebe84-3c5c-4227-8745-7a118a680bb6', 'ZYCY', '朝阳')
('8ca52c98-5020-4599-a82b-2a3868ec78da', 'ZYSQ', '松原/查干湖')
('31632232-e57b-4eaa-9f85-150ac495dc68', 'ZWKN', '布尔津/喀纳斯')
('8a4a3ef4-bf1f-465e-84a0-bb8493a75b6a', 'ZWTN', '和田')
('ad46836f-7173-49e9-b1e1-a05c0fa4f440', 'ZWFY', '富蕴/可可托海')
('565bc2ce-9a26-475f-962e-3a42df3b0faf', 'ZWHM', '哈密/伊州')
('3d4c42a3-110c-4816-b677-6b7aaf6ab670', 'ZWRQ', '若羌/楼兰')
('453368ad-e9e4-401e-8733-65445594c3a5', 'ZWSC', '莎车/叶尔羌')
('4e5d49e6-4c1f-4a7a-baaf-c91ce9a5c6f3', 'ZWCM', '且末/玉都')
('870b482c-426b-499f-acec-ae64f0b976d5', 'ZWNL', '新源/那拉提')
('804ad349-1340-4d08-a642-87f7c7f16b34', 'ZWWW', '乌鲁木齐/地窝堡')
('39a5eca1-72c4-49fd-8ca6-13e73a281fdd', 'ZWYN', '伊宁')
('4e26acc8-5d61-4f96-b84b-028c82293a8d', 'ZWKC', '库车/龟兹')
('e1afb43d-2eca-4708-a994-9b9d8a0d8020', 'ZWKM', '克拉玛依/古海')
('51919ca6-7ab7-4f9a-8093-351e2a119032', 'ZWHZ', '石河子/花园')
('91b319e4-c0df-45dd-b4aa-de0d8c1f36b5', 'ZWTK', '塔什库尔干/红其拉甫')
('9e101ac9-9de8-4f24-8f36-d750208c8913', 'ZWTL', '吐鲁番/交河')
('bce240e0-0054-44f8-8386-9b45aea9c1e6', 'ZWTC', '塔城/千泉')
('37de0e1f-be9f-4baf-8d7a-83c155feaa3b', 'ZWSH', '喀什')
('a4432488-076a-4b8d-92de-ed09d27d8a72', 'ZWZS', '昭苏/天马')
('7381c588-7558-49ef-a87c-7d7a038a12e4', 'ZWAL', '阿拉尔/塔里木')
('cbf92553-1c7f-4fba-beae-040c329473fe', 'ZWTS', '图木舒克/唐王城')
('7059fd42-e333-42a4-afe7-83e03916827c', 'ZWBL', '博乐/阿拉山口')
('bbe087cd-12a3-4ca9-ae45-44f587e514f4', 'ZWAK', '阿克苏/红旗坡')
('5fff68f1-458e-42f9-9ba6-84390ffc6a8d', 'ZWKL', '库尔勒/梨城')
('83ac3053-a7c0-4624-a651-04f44dea0eee', 'ZWAT', '阿勒泰/雪都')
('317a80e1-ee52-467c-bf0e-a0a66fa9124a', 'ZWYT', '于田/万方')
('b89d1b13-2eb8-4f51-9c29-f0562fb8bd74', '', '包头/公庙子')
('5d958dec-7f8b-42a4-a893-43b185b1b04f', '', '榆中')
('c160f1cd-ed37-4089-95a4-89cb6c32c8ca', '', '陵水')
('c1a0254b-e011-479b-b20a-e291bdf06a66', '', '临潼')
('f6ded1e0-2129-4412-afbb-a7623aefe7dd', '', '武威')
('b182f1c2-07f8-43da-b046-9aa456428e1e', '', '酒泉/下河清')
('fbe40830-6239-447e-a8b1-eb4156763030', '', '昌吉/阿尾滩')
('868898d1-e45d-4b3e-957a-eae5787dbe44', '', '樟树')
('48aecfbf-9be8-40b7-94d2-0d6bda333566', '', '漳州')
('cc56915c-4077-41ae-8b7b-9adf6ab330ac', '', '沈阳/于洪')
('a11e5b2b-b91e-4de3-971e-b757ef867fb7', '', '开封')
('c901f07c-5ad2-4a45-9e94-c79354555f01', '', '马兰')
('99c6eb55-91e4-4b5c-93b5-053721168993', '', '武汉')
('b2e098fe-c23e-4ddf-80dd-112de4edc2bb', 'VHHH', '香港')
('1aad95cf-f8f9-43b8-91dd-b49cb84321e4', '', '大连/土城子')
('5773141c-16ef-480c-b31f-b1decff1e3ff', '', '海拉尔/西山')
('a70253c5-3301-475b-a163-2226675fad31', '', '故城')
('d6f9c650-c24a-444c-8cd9-93919de09313', '', '临汾')
('3678664e-021d-4cc7-a737-5ff23c8afa28', '', '银川/贺兰山')
('df9c173e-7b7d-4d69-8eb6-29b05d8fe4d8', '', '安阳')
('98fcb486-962d-44c5-b5e1-437f155f6b14', 'VMMC', '澳门')
('591f8930-f6b3-4e04-ad6d-2dfe3be7ea4e', '', '蚌埠')
('900a9f64-d678-41e0-b492-d9bcf6ef11ae', '', '当阳')

RWY数据：
('c8464541-9da5-4dac-942c-0872126e5803', '01f5a042-e7e4-4cd1-84a8-e193090b509a', 'ZYTL')
('e7015bad-bc49-4693-b3fa-30d59cfd2335', '0358a015-5213-4aaa-80da-d60c2d14f5fb', 'ZPPP')
('a775e292-ba4a-4256-a7d4-7df23e7948c0', '0358a015-5213-4aaa-80da-d60c2d14f5fb', 'ZPPP')
('4302682d-b17c-43f0-bcf1-67ed3c4b8a8a', '041cd831-4711-4307-bea2-cce72c19aeac', 'ZSSL')
('259cdd65-ba8b-4eaa-aef5-3b0347326f54', '04d6662b-854c-41c3-8b9d-6f88829b6934', 'ZGWZ')
('f1fc5399-1fd4-4340-96ff-6e0e13f3c8f1', '057f3954-1479-4ed6-9191-deedfdef1c70', 'ZYDQ')
('147d0066-4253-42e2-9972-646d4095bb49', '0655d105-5e63-4e1b-9584-817312ea1f28', 'ZGHY')
('a814e90f-6592-4d0d-9ceb-ec749c4a68c0', '071b4d2e-d247-4a5c-b5f6-a25771bddba0', 'ZHHH')
('be7335e9-64d7-48b5-bec4-6a6696854fd8', '071b4d2e-d247-4a5c-b5f6-a25771bddba0', 'ZHHH')
('83d09b2f-05aa-4cf8-bf3a-fb219a377a82', '08178db3-a2f2-4728-87fe-cd8b48f3d5dc', 'ZUJZ')
('6e1723fe-81c4-4ae7-a119-686d871b2a72', '08d12080-c74b-42bb-95db-8dab30673c9e', 'ZSGZ')
('1e1f32e7-d8e2-458b-b6bd-6811e2a6a1f8', '08fa39fc-ab14-49a7-959f-aa15e25b1847', 'ZSSR')
('d4a0c69d-b78a-4cdb-8e15-74b3db9a4359', '0a3fbf7d-e332-452c-872b-022266b020a4', 'ZSFY')
